PIA,ADM,Grupo,Codigo_Reduzido_SIGA,Conta_PagCorp,Texto_Exibicao_Dropdown,Natureza,Status,Observacao,Instituicao
PIA-COXIM,ADM Coxim-MS,100 - CAIXA,100.10,-,PIA-COXIM: 100.10 - CAIXA OBRA DA PIEDADE,CAIXA,Ativa,,
PIA-COXIM,ADM Coxim-MS,100 - CAIXA,100.20,-,PIA-COXIM: 100.20 - CAIXA VIAGENS MISSIONÁRIAS,CAIXA,Ativa,,
PIA-COXIM,ADM Coxim-MS,100 - CAIXA,100.30,-,PIA-COXIM: 100.30 - CAIXA ASSEMBLÉIAS E REUNIÕES,CAIXA,Ativa,,
PIA-COXIM,ADM Coxim-MS,101 - BANCOS CONTA MOVIMENTO,101.10,-,PIA-COXIM: 101.10 - BB - AG:0552 CC:16.020-2 - PIEDADE,BANCO,Ativa,,BB
PIA-COXIM,ADM Coxim-MS,101 - BANCOS CONTA MOVIMENTO,101.12,-,PIA-COXIM: 101.12 - SANT - AG:3109 CC:130027576 - PIEDADE,BANCO,Ativa,,SANT
PIA-COXIM,ADM Coxim-MS,101 - BANCOS CONTA MOVIMENTO,101.13,-,PIA-COXIM: 101.13 - SANT - AG:3109 CC:130027569 - VIAGEM,BANCO,Ativa,,SANT
PIA-COXIM,ADM Coxim-MS,101 - BANCOS CONTA MOVIMENTO,101.14,-,PIA-COXIM: 101.14 - SANT - AG:3109 CC:130027583 - MÚSICA,BANCO,Ativa,,SANT
PIA-COXIM,ADM Coxim-MS,101 - BANCOS CONTA MOVIMENTO,101.15,127866218,PIA-COXIM: 101.15 - ACG - AG:01 CC:127866218 - PIEDADE,ACG,Ativa,"Conta única no SIGA; no PagCorp se subdivide em duas sub-tesourarias de cartão (Atendimento=127866192 e Secretaria=128175981) - não são contas de Origem/Destino separadas, só categorias de cartão",ACG
PIA-COXIM,ADM Coxim-MS,101 - BANCOS CONTA MOVIMENTO,101.20,127865707,PIA-COXIM: 101.20 - ACG - AG:01 CC:127865707 - VIAGEM,ACG,Ativa,,ACG
PIA-COXIM,ADM Coxim-MS,204 - OUTRAS OBRIGAÇÕES,204.9,-,PIA-COXIM: 204.9 - CARTÃO DE DÉBITO,CARTAO,Ativa,,ACG
