Código,Finalidade,O que é,Frentes,Históricos SIGA,Fonte,Cuidados
F03,Abastecer o caixa para a reunião de atendimento,Numerário levado do banco ou de outro caixa para dispor de dinheiro na reunião mensal,PIEDADE,032 TRANSF.VLR; 011 CHEQUE Nº; 168 DEP. CX. FUNDO FIXO,MAD.TES.01 itens 3.4 e 3.5; MOP.PIA.01 p.16; Livro Diário PIA-Coxim (49 lançamentos),Saldo do caixa deve bater com o físico no fim do mês (FOR.TES.09)
F04,Abastecer o caixa de viagens missionárias,Numerário transferido para o caixa de viagens antes da emissão dos envelopes,VIAGEM,032 TRANSF.VLR; 011 CHEQUE Nº,MOP.PIA.01 p.20; Livro Diário PIA-Coxim (18 lançamentos),Entre departamentos só na PIA sede da Regional (PIA-Coxim); só custeia viagens oradas ou consideradas em RRM
F05,Abastecer o caixa do Fundo Musical,Numerário transferido para o caixa do Fundo Musical,MUSICA,032 TRANSF.VLR; 011 CHEQUE Nº,Plano de Contas PIA-Coxim (conta 10035); rotina confirmada pela Secretaria,Deliberação sobre o uso dos recursos cabe aos Diáconos com os Encarregados de Orquestra
F06,Recolher ao banco a sobra do caixa,Devolução ao banco do numerário não utilizado no caixa no fechamento do mês,PIEDADE;VIAGEM;MUSICA,014 DEP. BANCÁRIO; 032 TRANSF.VLR,MAD.TES.01 item 3.5; FOR.TES.09,Conciliação de caixa até o dia 10 do mês seguinte; Termo de Verificação assinado
F07,Custodiar numerário em cofre para emergências,Saque concentrado para manter numerário no cofre e evitar saques repetidos,PIEDADE,011 CHEQUE Nº; 032 TRANSF.VLR,CI 07/26; MOP.PIA.01 p.23,Proposta ainda em deliberação; cofre aberto por dois ou mais Diáconos em conjunto com formulário assinado
F08,Recolher ao caixa o saldo em espécie do cartão,Valor sacado no cartão pré-pago e não utilizado devolvido ao caixa,PIEDADE;VIAGEM,105 SAQUE/COMPRA CARTÃO DÉBITO; 106 COMPRA/SAQUE CARTÃO DÉBITO,MOP.PIA.01 p.20; Ofício 004/26,Devolução sempre em Reais
F09,Suprir a conta ACG para carga de cartões,PIX do banco para a conta de pagamento que alimenta os cartões pré-pagos,PIEDADE;VIAGEM;MUSICA,032 TRANSF.VLR,Ofício 004/26; Livro Diário PIA-Coxim,Operação iniciada em 2026; conferir saldo antes da reunião
F10,Devolver ao banco o saldo da conta ACG,Zeragem da conta de pagamento ao fim do período,PIEDADE;VIAGEM;MUSICA,032 TRANSF.VLR; 034 TRANSF.P/ENCERRAMENTO,Ofício 004/26,Dispensa da zeragem está em consulta à Tesouraria do Brás
F11,Cobrir saldo de conta para tarifas bancárias,Reforço de conta bancária sem saldo suficiente para as tarifas do período,PIEDADE;VIAGEM;MUSICA,032 TRANSF.VLR,MAD.TES.01 item 3.4; Livro Diário PIA-Coxim (69 lançamentos),Cheque emitido custa R$ 20 conforme CI 07/26
F12,Concentrar saldo em outra conta bancária da PIA,Reunião de saldo disperso em uma única conta da mesma PIA,PIEDADE;VIAGEM;MUSICA,032 TRANSF.VLR; 166 REGUL. SALDO,MAD.TES.01 itens 3.4 e 3.6,Movimentação exige duas assinaturas (Estatuto art. 26 §2º)
